=== google-t5/t5-base ===
\"Hey, you've got to remember to pick up bananas on your way home."Hey, du musst dich daran erinnern, Bananen auf deinem Weg nach Hause zu sammeln.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so enttäuscht                         Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er sagte nicht, er fragte Fragen.                 im Kern des Betriebssystems                       
And that potential, that powerful potential,      Und das Potenzial, das mächtige Potenzial,        Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Denken werden umgeben.                            die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten würden, müssten wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     Es geht auch um Design, das war                   letztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Wie viel Computer macht das Gehirn?               Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, das sie überrascht                         etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Mein Vater hat dich, das ist alles, was wichtig ist.Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Ich habe eine schwierige Zeit, eine Zukunft vorzustellen.Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               Es liegt im Kern unseres Wesen, oder?             im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               Mit dieser besonderen Niederlage                  zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich beschloss, während des Tages zu überqueren,   Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    Um diese neuen Entwicklungen herum.               mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilityDas ist der erste Schritt zur Verantwortung       ist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       Das wascht den Planeten aus.                      den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       Die Dioscorides wurde erstmals im Jahre 65 v. Chr. beschrieben.als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das ist nicht 30 Prozent pro Jahr, das ist - MS: Ja, 30 Prozent pro Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, wie am besten wir sagen können, gibt es etwa zwei bis drei Millionen PlattenSoweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Einheit,                      kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis du erkennst, dass du die Frau bist,           Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            Peer Druck verwendet, um Patienten zu helfen -    Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?Lassen Sie sich in exkrutierenden Details heraus, wie kann man besser sein als Sie bei Checkers?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       Hier sind einige Menschen aus Pakistan.           es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           zu einem leichten Kontinent.“                     in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN berichtete, dass Palästinenser auf den Straßen tanzen.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,ist, dass, wenn Sie den Massenmarkt Erfolg oder die Massenmarkt Akzeptanz einer Idee wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität von Anästhesie. Die Lungen können paralysiert werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie den Staat, der die Wüste schützt       Der Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             Wenn Sie das Privileg haben                       dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Das Internet hat grundsätzlich zwei Internets.    Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist äußerst windig und auch sehr kalt.  Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        Es beginnt nicht mit Ideen, Fakten oder Daten.    nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe es ist nicht vorbei.                    Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Du wirst sehen, wie alles in diesem Film passiert.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        Wir liefern die Grippe und machen sie mehr verfügbar,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      Das ist, wo wir sein müssen.                      das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst                    Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.Sie fügen einfach einen neuen Schicht an das bestehende Terrorsystem hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           Und die Ergebnisse sind in:                       Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum würden sie nicht einfach ins Geschäft gehen und eine Tasche Nüsse kaufenWarum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       Vielleicht gibt es noch viele weitere Möglichkeitendass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte Kohlenstofffasern sprintende Beine      Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und 10 Jahre später hat sich alles verändert.     Und 10 Jahre später, änderte sich alles.          
